Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases
World,"704,753,890","675,619,811",899.4,
USA,"111,820,082","109,814,428","3,642",
India,"45,035,393",N/A,379,
France,"40,138,560","39,970,918","2,556",
Germany,"38,828,995","38,240,600","2,182",
Brazil,"38,743,918","36,249,161","3,303",
S. Korea,"34,571,873","34,535,939",700,
Japan,"33,803,572",N/A,595,
Italy,"26,723,249","26,361,218","3,261",
UK,"24,910,387","24,678,275","3,389",
Russia,"24,124,215","23,545,818","2,762",
Turkey,"17,232,066",N/A,"1,194",
Spain,"13,914,811","13,762,417","2,606",
Australia,"11,853,144","11,820,014",937,
Vietnam,"11,625,195","10,640,971",437,
Taiwan,"10,241,523","10,222,518",796,
Argentina,"10,128,845","9,997,258","2,844",
Netherlands,"8,635,786","8,612,599","1,336",
Mexico,"7,702,809","6,899,865","2,546",
Iran,"7,627,186",N/A,"1,707",
Indonesia,"6,829,221","6,647,104",581,
Poland,"6,661,991",N/A,"3,196",
Colombia,"6,400,173","6,212,152","2,780",
Greece,"6,101,379",N/A,"3,671",
Austria,"6,081,287","6,054,934","2,486",
Portugal,"5,643,062","5,614,809","2,774",
Ukraine,"5,557,995","5,445,577","2,603",
Chile,"5,384,853","5,252,450","3,350",
Malaysia,"5,278,406","5,233,268","1,126",
Canada,"4,946,090","4,881,312","1,538",
Belgium,"4,861,695","4,826,798","2,946",
Israel,"4,841,772","4,798,473","1,363",
DPRK,"4,772,813","4,772,739",3,
Thailand,"4,770,149","4,692,636",494,
Czechia,"4,759,041","4,715,206","4,053",
Peru,"4,572,667","4,350,506","6,595",
Switzerland,"4,453,053","4,438,309","1,647",
Philippines,"4,140,383","4,067,381",594,
South Africa,"4,076,463","3,912,506","1,689",
Romania,"3,529,735","3,460,149","3,622",
Denmark,"3,183,756","3,174,942","1,511",
Singapore,"3,006,155","3,004,131",341,
Hong Kong,"2,937,609","2,916,005","1,963",
Sweden,"2,754,129","2,726,492","2,682",
